filename,width,height,class,xmin,ymin,xmax,ymax
8066.jpg,320,320,Person,108,153,120,207
154.jpg,320,320,Bus,206,124,270,211
Bus_3.jpg,320,320,Bus,92,62,320,320
10145.jpg,320,320,Person,132,160,141,226
Car_85.jpg,320,320,Person,262,238,274,293
kaggle_0285.jpg,320,320,speed_sign,202,176,208,188
kaggle_0029.jpg,320,320,speed_sign,233,168,245,187
speed_sign_241.jpg,320,320,speed_sign,164,123,195,166
speed_sign_314.jpg,320,320,speed_sign,168,13,311,255
Bus_134.jpg,320,320,Bus,9,165,70,253
Bus_133.jpg,320,320,Bus,245,69,320,254
8107.jpg,320,320,Person,224,153,234,205
434.jpg,320,320,Bus,122,117,149,167
Car_304.jpg,320,320,Person,130,1,179,182
8107.jpg,320,320,Person,83,149,93,214
212.jpg,320,320,Car,164,158,174,172
249.jpg,320,320,Bus,157,127,165,141
speed_sign_173.jpg,320,320,Person,270,89,313,318
5002.jpg,320,320,Car,238,151,262,167
499.jpg,320,320,Bus,114,132,141,174
372.jpg,320,320,Person,212,152,246,271
kaggle_0201.jpg,320,320,speed_sign,36,205,48,226
Car_99.jpg,320,320,Car,292,20,320,55
4991.jpg,320,320,Person,85,171,110,221
Bus_62.jpg,320,320,Person,180,199,189,224
Bus_144.jpg,320,320,Bus,21,3,314,314
speed_sign_96.jpg,320,320,Car,166,172,228,215
speed_sign_181.jpg,320,320,speed_sign,45,2,143,118
Car_128.jpg,320,320,Car,39,32,298,147
kaggle_0076.jpg,320,320,Car,200,188,232,231
speed_sign_393.jpg,320,320,speed_sign,39,34,77,83
kaggle_0039.jpg,320,320,speed_sign,241,176,248,186
speed_sign_15.jpg,320,320,Car,176,157,281,258
364.jpg,320,320,Bus,155,139,178,188
speed_sign_80.jpg,320,320,speed_sign,74,47,116,98
Bus_2.jpg,320,320,Car,8,157,51,203
Bus_88.jpg,320,320,Person,86,170,103,215
5007.jpg,320,320,Car,220,149,248,170
368.jpg,320,320,Car,179,132,219,179
kaggle_0050.jpg,320,320,speed_sign,259,193,266,205
kaggle_0057.jpg,320,320,speed_sign,237,119,252,146
180.jpg,320,320,Bus,226,84,320,220
Bus_89.jpg,320,320,Person,194,166,220,318
24.jpg,320,320,Bus,152,155,168,178
Bus_33.jpg,320,320,Bus,260,90,282,148
5043.jpg,320,320,speed_sign,178,117,188,129
8107.jpg,320,320,Person,122,148,130,196
5140.jpg,320,320,Car,17,200,86,264
Car_57.jpg,320,320,Car,0,235,72,313
Car_132.jpg,320,320,Car,10,81,230,181
Car_7.jpg,320,320,Person,159,173,182,289
Bus_7.jpg,320,320,Bus,30,117,88,214
kaggle_0172.jpg,320,320,Car,169,237,183,255
Car_44.jpg,320,320,Car,225,0,302,29
Car_262.jpg,320,320,Person,88,82,113,174
Bus_223.jpg,320,320,Bus,164,66,261,184
kaggle_0100.jpg,320,320,Bus,165,183,181,211
4998.jpg,320,320,Car,156,172,174,193
kaggle_0111.jpg,320,320,speed_sign,229,158,238,171
speed_sign_93.jpg,320,320,Car,125,253,158,295
941.jpg,320,320,Bus,13,129,94,213
Car_314.jpg,320,320,Person,143,78,163,125
Bus_157.jpg,320,320,Bus,185,150,228,179
kaggle_0275.jpg,320,320,speed_sign,88,206,96,218
speed_sign_100.jpg,320,320,speed_sign,137,117,148,134
Car_226.jpg,320,320,Car,4,199,130,320
8113.jpg,320,320,Person,26,139,52,247
8097.jpg,320,320,Person,104,134,108,161
speed_sign_44.jpg,320,320,speed_sign,39,53,72,89
5018.jpg,320,320,speed_sign,139,120,150,136
1789.jpg,320,320,Bus,168,114,184,139
5838.jpg,320,320,Person,284,178,295,243
speed_sign_352.jpg,320,320,speed_sign,181,69,238,149
2026.jpg,320,320,Bus,142,119,196,179
speed_sign_49.jpg,320,320,speed_sign,77,12,114,83
364.jpg,320,320,Bus,178,113,273,224
444.jpg,320,320,Bus,132,106,157,157
Bus_101.jpg,320,320,Person,21,144,40,226
Bus_262.jpg,320,320,Car,203,152,226,168
kaggle_0212.jpg,320,320,speed_sign,223,226,230,238
Bus_121.jpg,320,320,Bus,0,75,93,239
Car_65.jpg,320,320,Car,0,140,21,151
8113.jpg,320,320,Person,232,153,242,191
142.jpg,320,320,Car,148,150,161,163
Car_169.jpg,320,320,Person,148,217,177,286
5063.jpg,320,320,Person,16,169,22,187
kaggle_0190.jpg,320,320,speed_sign,121,186,131,202
408.jpg,320,320,Bus,164,130,178,156
Car_304.jpg,320,320,Person,0,1,114,320
279.jpg,320,320,Bus,132,144,152,171
Car_208.jpg,320,320,Person,135,90,201,320
5000.jpg,320,320,Car,69,153,90,174
Bus_94.jpg,320,320,Bus,129,139,185,193
kaggle_0180.jpg,320,320,Bus,192,200,224,260
Bus_119.jpg,320,320,Person,298,112,320,279
Bus_220.jpg,320,320,Bus,30,13,271,306
speed_sign_247.jpg,320,320,speed_sign,265,63,290,110
Car_19.jpg,320,320,Person,222,274,236,320
436.jpg,320,320,Bus,122,120,151,171
speed_sign_81.jpg,320,320,speed_sign,121,246,144,275
Bus_95.jpg,320,320,Bus,117,95,297,209
kaggle_0066.jpg,320,320,Bus,5,173,67,240
Car_379.jpg,320,320,Car,0,128,42,167
Car_21.jpg,320,320,Person,118,168,122,186
423.jpg,320,320,Bus,165,133,198,200
kaggle_0132.jpg,320,320,Bus,196,184,206,207
427.jpg,320,320,Bus,184,141,202,181
kaggle_0037.jpg,320,320,speed_sign,71,168,81,183
kaggle_0157.jpg,320,320,Car,189,234,215,263
283.jpg,320,320,Bus,203,107,271,206
10159.jpg,320,320,Bus,190,2,320,317
Car_285.jpg,320,320,Car,169,205,215,242
5709.jpg,320,320,speed_sign,134,158,141,170
8727.jpg,320,320,Car,104,132,120,151
474.jpg,320,320,Bus,121,128,136,160
Bus_83.jpg,320,320,Person,204,227,210,252
Car_116.jpg,320,320,Car,39,110,192,195
Car_8.jpg,320,320,Car,0,269,254,320
Bus_154.jpg,320,320,Bus,49,56,272,276
kaggle_0061.jpg,320,320,speed_sign,166,178,171,186
Bus_206.jpg,320,320,Person,18,163,28,218
Car_94.jpg,320,320,Car,92,142,107,159
Car_20.jpg,320,320,Person,71,126,80,157
speed_sign_126.jpg,320,320,speed_sign,11,2,162,318
5026.jpg,320,320,speed_sign,102,123,114,139
Bus_247.jpg,320,320,Bus,0,112,32,238
422.jpg,320,320,Bus,136,96,174,176
449.jpg,320,320,Bus,165,149,184,176
speed_sign_98.jpg,320,320,speed_sign,180,140,204,174
kaggle_0094.jpg,320,320,speed_sign,200,178,207,188
8061.jpg,320,320,Person,57,122,72,196
speed_sign_216.jpg,320,320,speed_sign,192,47,281,205
kaggle_0172.jpg,320,320,speed_sign,244,168,254,187
913.jpg,320,320,Car,100,144,120,168
kaggle_0089.jpg,320,320,speed_sign,221,120,235,144
386.jpg,320,320,Bus,154,156,180,179
speed_sign_79.jpg,320,320,Car,107,198,117,212
kaggle_0233.jpg,320,320,speed_sign,260,141,277,170
5013.jpg,320,320,speed_sign,117,153,125,164
Bus_146.jpg,320,320,Bus,17,42,252,263
833.jpg,320,320,Car,183,154,205,185
196.jpg,320,320,Person,4,164,41,255
917.jpg,320,320,Bus,120,118,137,148
Bus_107.jpg,320,320,Bus,60,0,320,180
298.jpg,320,320,Car,181,163,212,194
Bus_259.jpg,320,320,Bus,61,103,257,209
Bus_147.jpg,320,320,Bus,0,0,274,320
378.jpg,320,320,Bus,160,128,177,153
Bus_203.jpg,320,320,Person,134,163,162,312
102.jpg,320,320,Bus,173,144,196,175
8287.jpg,320,320,Car,177,141,202,175
5022.jpg,320,320,Person,142,143,176,204
10172.jpg,320,320,Bus,152,34,282,284
kaggle_0088.jpg,320,320,speed_sign,271,90,287,115
10515.jpg,320,320,speed_sign,88,126,100,151
Car_304.jpg,320,320,Person,201,1,249,242
Bus_116.jpg,320,320,Bus,264,0,320,319
Bus_244.jpg,320,320,Bus,0,129,19,172
kaggle_0054.jpg,320,320,speed_sign,32,153,42,170
5039.jpg,320,320,Person,236,135,308,251
Car_17.jpg,320,320,Car,0,54,282,303
169.jpg,320,320,Bus,202,126,221,160
speed_sign_79.jpg,320,320,speed_sign,124,81,141,110
482.jpg,320,320,Car,152,128,173,150
Car_200.jpg,320,320,Car,170,163,194,187
418.jpg,320,320,Bus,192,150,206,173
1098.jpg,320,320,Person,271,161,294,261
Bus_163.jpg,320,320,Bus,102,102,222,192
Bus_125.jpg,320,320,Person,92,165,134,292
397.jpg,320,320,Person,236,168,260,231
Car_152.jpg,320,320,Person,27,62,76,298
Bus_178.jpg,320,320,Bus,169,7,320,305
kaggle_0181.jpg,320,320,speed_sign,56,224,62,234
speed_sign_140.jpg,320,320,speed_sign,113,105,150,175
kaggle_0282.jpg,320,320,speed_sign,232,164,250,196
Car_132.jpg,320,320,Car,0,0,78,44
Bus_7.jpg,320,320,Person,167,35,185,84
Bus_99.jpg,320,320,Bus,1,0,209,320
Bus_19.jpg,320,320,Bus,80,0,320,157
5789.jpg,320,320,Person,298,183,317,290
Bus_33.jpg,320,320,Bus,54,33,262,218
speed_sign_438.jpg,320,320,Car,84,193,116,234
speed_sign_92.jpg,320,320,speed_sign,185,68,262,189
speed_sign_209.jpg,320,320,speed_sign,231,203,247,224
5464.jpg,320,320,Person,107,180,118,238
kaggle_0020.jpg,320,320,speed_sign,105,164,116,181
5043.jpg,320,320,Person,167,135,194,180
speed_sign_63.jpg,320,320,Person,200,137,248,320
Car_99.jpg,320,320,Car,11,45,46,98
255.jpg,320,320,Bus,199,37,320,222
kaggle_0045.jpg,320,320,Car,185,214,199,232
99.jpg,320,320,Car,157,136,169,149
429.jpg,320,320,Bus,186,123,235,188
kaggle_0160.jpg,320,320,Bus,180,201,228,263
Bus_81.jpg,320,320,Person,170,121,213,289
kaggle_0199.jpg,320,320,speed_sign,51,194,61,209
Car_39.jpg,320,320,Car,201,138,219,156
11.jpg,320,320,Bus,176,109,206,155
8111.jpg,320,320,Person,154,161,158,182
speed_sign_307.jpg,320,320,speed_sign,118,64,134,91
Bus_21.jpg,320,320,Person,261,57,272,97
1822.jpg,320,320,speed_sign,112,144,125,159
160.jpg,320,320,Car,148,178,190,225
10160.jpg,320,320,Person,127,183,158,320
Bus_76.jpg,320,320,Car,237,228,293,267
4991.jpg,320,320,Person,51,174,64,197
5008.jpg,320,320,Person,33,165,84,255
speed_sign_396.jpg,320,320,Car,147,137,173,161
5139.jpg,320,320,Car,20,183,53,226
Bus_185.jpg,320,320,Bus,69,117,316,268
speed_sign_304.jpg,320,320,speed_sign,144,70,169,116
340.jpg,320,320,Bus,249,65,320,261
185.jpg,320,320,Bus,192,116,230,203
speed_sign_122.jpg,320,320,speed_sign,66,164,93,199
speed_sign_144.jpg,320,320,speed_sign,272,49,310,102
speed_sign_475.jpg,320,320,speed_sign,181,124,206,157
915.jpg,320,320,Car,55,142,96,190
Car_44.jpg,320,320,Person,70,0,148,237
speed_sign_59.jpg,320,320,Person,229,60,311,316
9819.jpg,320,320,Bus,70,89,137,222
0.jpg,320,320,Bus,24,120,118,217
Bus_253.jpg,320,320,Bus,0,62,90,276
Bus_184.jpg,320,320,Person,162,152,174,204
speed_sign_319.jpg,320,320,speed_sign,180,127,201,155
Bus_111.jpg,320,320,Bus,221,161,267,202
5069.jpg,320,320,Car,159,166,224,237
speed_sign_186.jpg,320,320,speed_sign,54,167,96,230
439.jpg,320,320,Bus,178,140,203,176
Car_104.jpg,320,320,Car,212,254,320,318
speed_sign_99.jpg,320,320,Car,84,221,102,246
kaggle_0257.jpg,320,320,speed_sign,225,138,233,152
