filename,width,height,class,xmin,ymin,xmax,ymax
Bus_89.jpg,320,320,Bus,0,41,213,320
Car_93.jpg,320,320,Car,102,211,118,230
1099.jpg,320,320,Person,260,145,284,246
4.jpg,320,320,Bus,0,72,96,245
kaggle_0261.jpg,320,320,Car,110,180,160,256
kaggle_0154.jpg,320,320,speed_sign,5,96,34,146
kaggle_0095.jpg,320,320,speed_sign,187,176,191,183
811.jpg,320,320,Car,81,123,94,142
430.jpg,320,320,Bus,135,108,162,164
speed_sign_251.jpg,320,320,speed_sign,139,220,204,320
1098.jpg,320,320,Person,271,161,294,261
Bus_187.jpg,320,320,Bus,35,0,299,308
kaggle_0051.jpg,320,320,speed_sign,230,188,236,199
speed_sign_135.jpg,320,320,speed_sign,251,158,269,187
Bus_101.jpg,320,320,Bus,37,47,265,256
Bus_130.jpg,320,320,Bus,21,73,142,183
speed_sign_58.jpg,320,320,Bus,239,84,262,101
Bus_206.jpg,320,320,Person,226,153,239,223
Car_19.jpg,320,320,Person,205,278,219,318
5025.jpg,320,320,speed_sign,116,148,124,161
kaggle_0202.jpg,320,320,speed_sign,96,208,110,230
4998.jpg,320,320,Car,156,172,174,193
speed_sign_123.jpg,320,320,speed_sign,119,97,148,134
5028.jpg,320,320,Person,146,145,188,216
Bus_167.jpg,320,320,Person,49,246,68,312
Car_56.jpg,320,320,Car,67,32,293,262
Bus_27.jpg,320,320,Bus,242,52,290,140
Bus_80.jpg,320,320,Bus,27,109,302,288
5033.jpg,320,320,Person,128,160,174,243
Bus_38.jpg,320,320,Person,261,153,276,224
342.jpg,320,320,Car,168,168,178,180
Car_333.jpg,320,320,Person,261,274,272,316
kaggle_0179.jpg,320,320,speed_sign,220,217,227,228
Bus_233.jpg,320,320,Bus,143,156,218,218
kaggle_0152.jpg,320,320,speed_sign,232,203,243,221
413.jpg,320,320,Bus,214,105,320,226
Car_360.jpg,320,320,Car,281,162,320,212
speed_sign_209.jpg,320,320,Car,140,247,168,279
430.jpg,320,320,Bus,219,48,320,204
Car_233.jpg,320,320,Person,287,252,310,288
Bus_15.jpg,320,320,Bus,99,124,304,287
